Dim	Classifier	Score
60	KNN	0.7525252525252526
60	LR	0.696969696969697
60	FLD	0.7070707070707071
13	KNN	0.797979797979798
13	LR	0.8535353535353536
13	FLD	0.7070707070707071
6	KNN	0.696969696969697
6	LR	0.8181818181818181
6	FLD	0.7525252525252526
11	KNN	0.8535353535353536
11	LR	0.8535353535353536
11	FLD	0.7070707070707071
