Dim	Classifier	Score
4	KNN	0.697110423116615
4	LR	0.6568627450980392
4	FLD	0.6831785345717234
2	KNN	0.6382868937048504
2	LR	0.674406604747162
2	FLD	0.674406604747162
2	KNN	0.6382868937048504
2	LR	0.674406604747162
2	FLD	0.674406604747162
3	KNN	0.697110423116615
3	LR	0.6568627450980392
3	FLD	0.6831785345717234
