Dim	Classifier	Score
19	KNN	0.6144505160898603
19	LR	0.6974802671523983
19	FLD	0.517304189435337
5	KNN	0.5887978142076503
5	LR	0.4959016393442623
5	FLD	0.5244383727990285
3	KNN	0.5670916818457802
3	LR	0.5528233151183971
3	FLD	0.5091074681238615
8	KNN	0.6041287188828173
8	LR	0.6369156041287188
8	FLD	0.517304189435337
