Dim	Classifier	Score
6	KNN	0.8785714285714286
6	LR	0.8785714285714286
6	FLD	0.8333333333333333
2	KNN	0.780952380952381
2	LR	0.7619047619047619
2	FLD	0.7619047619047619
1	KNN	0.7309523809523809
1	LR	0.7619047619047619
1	FLD	0.5
5	KNN	0.8785714285714286
5	LR	0.8785714285714286
5	FLD	0.8333333333333333
