Dim	Classifier	Score
18	KNN	0.8489795918367347
18	LR	0.9591836734693877
18	FLD	0.9591836734693877
10	KNN	0.5489795918367347
10	LR	0.6775510204081632
10	FLD	0.7673469387755103
1	KNN	0.5183673469387755
1	LR	0.6020408163265306
1	FLD	0.6020408163265306
18	KNN	0.8489795918367347
18	LR	0.9591836734693877
18	FLD	0.9591836734693877
