Dim	Classifier	Score
30	KNN	1.0
30	LR	0.9722222222222222
30	FLD	0.9444444444444444
6	KNN	0.9623015873015872
6	LR	0.9722222222222222
6	FLD	0.9444444444444444
3	KNN	0.9484126984126984
3	LR	0.9206349206349206
3	FLD	0.9206349206349206
5	KNN	0.9761904761904762
5	LR	0.9484126984126984
5	FLD	0.9444444444444444
